2026-02-06 09:42:24.635912 - FACE_LOCKED: Face locked: Rubuto
2026-02-06 09:42:25.566952 - SMILE: Smile detected (ratio: 57.64)
2026-02-06 09:42:25.792212 - SMILE: Smile detected (ratio: 160.16)
2026-02-06 09:42:27.098988 - SMILE: Smile detected (ratio: 57.94)
2026-02-06 09:42:27.311595 - SMILE: Smile detected (ratio: 228.07)
2026-02-06 09:42:28.394486 - SMILE: Smile detected (ratio: 99.40)
2026-02-06 09:42:30.544049 - SMILE: Smile detected (ratio: 40.02)
2026-02-06 09:42:30.757780 - SMILE: Smile detected (ratio: 84.99)
2026-02-06 09:42:32.915000 - SMILE: Smile detected (ratio: 33.78)
2026-02-06 09:42:33.170842 - SMILE: Smile detected (ratio: 51.95)
2026-02-06 09:42:35.757113 - HEAD_RIGHT: Moved right by 12.9px
2026-02-06 09:42:35.969038 - SMILE: Smile detected (ratio: 46.38)
2026-02-06 09:42:36.640325 - SMILE: Smile detected (ratio: 120.33)
2026-02-06 09:42:37.597738 - SMILE: Smile detected (ratio: 86.95)
2026-02-06 09:42:40.837610 - SMILE: Smile detected (ratio: 152.83)
2026-02-06 09:42:46.900391 - SMILE: Smile detected (ratio: 32.93)
2026-02-06 09:43:12.502152 - HEAD_RIGHT: Moved right by 11.9px
2026-02-06 09:43:12.853242 - SMILE: Smile detected (ratio: 72.95)
2026-02-06 09:43:13.995185 - SMILE: Smile detected (ratio: 120.75)
2026-02-06 09:43:14.296252 - HEAD_LEFT: Moved left by 10.4px
2026-02-06 09:43:14.941607 - HEAD_RIGHT: Moved right by 49.7px
2026-02-06 09:43:15.329152 - HEAD_RIGHT: Moved right by 11.6px
2026-02-06 09:43:16.316725 - SMILE: Smile detected (ratio: 545.99)
2026-02-06 09:43:17.009659 - HEAD_LEFT: Moved left by 18.8px
2026-02-06 09:43:19.431161 - HEAD_LEFT: Moved left by 21.1px
2026-02-06 09:43:19.707770 - HEAD_LEFT: Moved left by 32.3px
2026-02-06 09:43:20.077937 - HEAD_LEFT: Moved left by 15.0px
2026-02-06 09:43:20.678712 - SMILE: Smile detected (ratio: 22.60)
2026-02-06 09:43:26.162965 - HEAD_RIGHT: Moved right by 43.7px
2026-02-06 09:43:26.439841 - HEAD_RIGHT: Moved right by 11.8px
2026-02-06 09:43:26.716696 - SMILE: Smile detected (ratio: 30.41)
